,ctx-lh-bankssts,ctx-lh-caudalanteriorcingulate,ctx-lh-caudalmiddlefrontal,ctx-lh-cuneus,ctx-lh-entorhinal,ctx-lh-fusiform,ctx-lh-inferiorparietal,ctx-lh-inferiortemporal,ctx-lh-isthmuscingulate,ctx-lh-lateraloccipital,ctx-lh-lateralorbitofrontal,ctx-lh-lingual,ctx-lh-medialorbitofrontal,ctx-lh-middletemporal,ctx-lh-parahippocampal,ctx-lh-paracentral,ctx-lh-parsopercularis,ctx-lh-parsorbitalis,ctx-lh-parstriangularis,ctx-lh-pericalcarine,ctx-lh-postcentral,ctx-lh-posteriorcingulate,ctx-lh-precentral,ctx-lh-precuneus,ctx-lh-rostralanteriorcingulate,ctx-lh-rostralmiddlefrontal,ctx-lh-superiorfrontal,ctx-lh-superiorparietal,ctx-lh-superiortemporal,ctx-lh-supramarginal,ctx-lh-frontalpole,ctx-lh-temporalpole,ctx-lh-transversetemporal,ctx-lh-insula,ctx-rh-bankssts,ctx-rh-caudalanteriorcingulate,ctx-rh-caudalmiddlefrontal,ctx-rh-cuneus,ctx-rh-entorhinal,ctx-rh-fusiform,ctx-rh-inferiorparietal,ctx-rh-inferiortemporal,ctx-rh-isthmuscingulate,ctx-rh-lateraloccipital,ctx-rh-lateralorbitofrontal,ctx-rh-lingual,ctx-rh-medialorbitofrontal,ctx-rh-middletemporal,ctx-rh-parahippocampal,ctx-rh-paracentral,ctx-rh-parsopercularis,ctx-rh-parsorbitalis,ctx-rh-parstriangularis,ctx-rh-pericalcarine,ctx-rh-postcentral,ctx-rh-posteriorcingulate,ctx-rh-precentral,ctx-rh-precuneus,ctx-rh-rostralanteriorcingulate,ctx-rh-rostralmiddlefrontal,ctx-rh-superiorfrontal,ctx-rh-superiorparietal,ctx-rh-superiortemporal,ctx-rh-supramarginal,ctx-rh-frontalpole,ctx-rh-temporalpole,ctx-rh-transversetemporal,ctx-rh-insula,Left-Cerebellum-Cortex,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Hippocampus,Left-Amygdala,Left-Accumbens-area,Left-VentralDC/Hypothalamus,Right-Cerebellum-Cortex,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Hippocampus,Right-Amygdala,Right-Accumbens-area,Right-VentralDC/Hypothalamus
ctx-rh-parahippocampal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008391058747319207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16917073688186382,0.0,0.0,0.0,6.337248865967157,28.09707522046064,0.054668009544358305,1.66224014610592,2.4318416361508053,0.043643899633130735,0.0,8.587272727106145,0.0,0.351156244898026,0.0,0.0,0.0,0.0,0.0,0.005357512502350669,0.0,0.0,0.0002683843283549599,0.06106739061331187,0.0,0.0,0.0,0.002203980406773263,0.27660281792202074,0.005729220024701478,0.0,0.017409154146477795,0.01512136095729859,0.10510109260381348,0.0026471785715092783,0.0,0.0,0.0,0.0,0.0004528985507246377,0.0,0.0,0.00104312547415063,8.327908695041053,0.541695796513417,0.0004528985507246377,0.015650749874665686,0.005612446994021319,15.473591138392795,0.1355672015444092,0.0008401596459789553,0.07991673542942473
ctx-rh-paracentral,0.0,0.0006987866338180459,0.0,0.0,0.0,0.0,0.0,0.0,0.0006429383504217949,0.0,0.0,0.0,0.0,0.0,0.0,7.3573120705095,0.0,0.0,0.0,0.0,0.32759475473152555,0.3671388574133533,0.3347287550298632,0.017662723157284916,0.0,0.0,0.309010891702728,0.0020823523645167766,0.0,0.0,0.0,0.0,0.0,0.0,0.011641657384841339,0.05128009291365743,0.3873805269882407,0.00046194964290960974,0.0,0.0009975171229545622,0.08811335620618817,0.000846065445870593,0.40791185926376045,0.004912928772577341,0.0,0.00045935262966415155,0.0,0.0005826806730550269,0.0,0.0,0.026373106547617826,0.0,0.0011603920653030493,0.00036231884597868157,9.798829868294137,15.649390446737517,16.750933304948706,8.239339461192435,0.0,0.0072336571318083916,12.856187787554834,5.823114320791016,0.038815686384728855,0.5258957348642466,0.0,0.0,0.020312326319137777,0.6145819824161953,0.0,0.0,0.0,0.0,0.0010351967336474986,0.0,0.0,0.0,0.0,0.0,0.12675958797605574,0.33230826924082596,0.2371995788526492,0.10468939657363555,0.003356599883324858,0.004500011926975803,0.0,0.0
ctx-rh-parsopercularis,0.0,0.004432606416336004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023375408373017243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000881733575268932,0.0,0.0,0.0017546061291426852,0.0,0.0005175983668237493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027235529075066247,0.5031854760414665,8.234304592978425,0.0,0.0,0.0,0.007569316005253274,0.0,0.0069363591787607775,0.0,0.8108745566299319,0.0002898550659850024,0.034796488883000784,0.0,0.0,0.026373106547617826,0.0,0.2929875725758788,21.036118185127396,0.0,1.8504419732582418,0.09433410227622675,23.45773398828949,0.009468582600517117,0.2092561246489809,15.344938628550997,1.3562045767025994,0.04230380427443247,0.8807103522796778,0.4150477506193346,0.00022644927536231884,0.0,0.0050303112796467285,20.413726718785863,0.0,0.0,0.0019752067662235618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03546364434684316,0.8067391359085299,1.9127359454439061,0.11638382625887575,0.0012942726413408916,0.001157439003388087,0.0024075769157945247,0.0
ctx-rh-parsorbitalis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010022855485263078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005925281000310097,0.0025130871116467142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.151723305822983,0.0,0.09708514833903831,0.0,0.0,0.0,0.2929875725758788,0.0,13.335469803307205,0.0,0.0,0.0,0.0010209782184034154,0.0,0.06487133262166078,10.409380236795792,0.03741706222754674,0.0,0.1122512145480816,0.0,0.0018549717260875564,0.0,0.0,0.12049287215442113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034828326111470444,0.05636781968338334,0.0005797101319700048,0.0,0.0,0.0018199975129918776,0.0
ctx-rh-parstriangularis,0.0,0.0033305336424298043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000468605332940385,0.0,0.0007751473104176314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005094216812563979,0.0,0.0011593076953853386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31086595102037856,0.45687048372043215,0.0,0.0,0.0,0.0003150598672421082,0.0,0.0,0.0,15.602785682238206,0.0,0.44071704511652177,0.0,0.0,0.0011603920653030493,21.036118185127396,13.335469803307205,0.0,0.0,0.02405272899330526,0.008408525985652122,0.22016780485358575,0.00021003991149473882,0.979180778828922,19.311341279469755,1.3383456580543325,0.0011667143283546834,0.11179793688833066,0.006380053561018861,0.0035822727461008058,0.0,0.0,6.757019606202949,0.0,0.0,0.002256063272015772,0.00023375408373017243,0.0,0.0,0.0,0.001244377925236156,0.0,0.0,0.0016513485596447751,0.8800678158556854,1.1229467790006944,0.029811849507192772,0.0,0.0,0.017304888602508152,0.0
ctx-rh-pericalcarine,0.0,0.0,0.0,1.3495861474303124,0.0,0.0,0.00042625746109347415,0.0,0.0,0.03071465694844939,0.0,1.69652231907526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26342604326192237,0.0,0.0,0.0,0.08652469063636617,0.0,0.0,0.0,0.0005915409520916317,0.0,0.0,0.0,0.0,0.0,0.0,0.02523430851895524,0.0,0.00023004372158776158,19.645119837363776,0.0,1.1027183007664871,1.1206356747534827,0.06015541428781074,0.13005228960157736,15.862977874957943,0.0,26.758285447253265,0.0,0.011030484200117813,0.005357512502350669,0.00036231884597868157,0.0,0.0,0.0,0.0,0.003709305408478215,0.0007255400760450225,0.00178544987263023,7.2112851122569674,0.0,0.0,0.0,3.6767432858924503,0.0191355733052436,0.03196095671855669,0.0,0.0,0.007035197750867709,0.010492806356616211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.053409338881518095,0.0020161850404912147,0.000755857919221339,0.0012045740892273793,0.0,0.009093366927750732,0.0,0.0,0.0
ctx-rh-postcentral,0.0,0.001094340886650742,0.0,0.0,0.0,0.0,0.0,0.0,0.0005719362609628318,0.0,0.0,0.0,0.0,0.0,0.0,0.04439817134128964,0.0,0.0,0.0,0.0,0.02890991738093072,0.0030616521970301433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1198107277016169,0.06859220396997272,1.3708249917726263,0.0014170253028472264,0.0,0.0076689782646903095,0.5076752270747354,0.009271609144744234,0.18908872296088847,0.015864063074569338,0.002403492134982261,0.003226722509640714,0.0,0.00801503665043392,0.0,9.798829868294137,1.8504419732582418,0.0,0.02405272899330526,0.003709305408478215,0.0,0.9132791436412304,57.413248991836674,3.014995189532098,0.002369194251039754,0.08176378884177277,0.40795914031754155,21.288551626430042,4.564139732017951,41.35712890113717,0.0,0.0,4.674926313409663,14.601770523685854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23612270108086691,0.4619561547238002,0.9864081666345937,0.1853995487107423,0.013792978640159836,0.004876158591629803,0.0,0.0017631736894448598
ctx-rh-posteriorcingulate,0.0,0.8142512141645927,0.007385800403637299,0.0,0.0,0.0,0.001150785418956176,0.0,2.5914052150657643,0.00021312873054673707,0.0,0.0005367686567099198,0.0,0.0,0.0,0.2967616339092669,0.0,0.0,0.0,0.0,0.004136834631039613,22.16803063735015,0.009804012861264788,1.0117780829347887,0.00037160907210647196,0.00039007412134737206,0.4682426177896559,0.003191765897191953,0.0,0.0020312192728338036,0.0,0.0,0.0,0.0033543331926499586,0.011268234865712946,6.274728140476551,1.0155666819098743,0.0008584813120356505,0.0,0.0017001408057800238,0.10420793066800073,0.0002898550659850024,9.15096194419227,0.004420819584334242,0.0008562683816189351,0.0030608886609906735,0.0002957704760458158,0.0013004199777176414,0.0,15.649390446737517,0.09433410227622675,0.0,0.008408525985652122,0.0007255400760450225,0.9132791436412304,0.0,2.5089106869316944,9.332664963958003,0.006665999636701916,0.05282201769127362,11.687154248167856,1.4194881679571194,0.05279310337146339,0.6547730445551375,0.0,0.0,0.03256557973614638,1.0305865451396592,0.0,0.009248462681105171,0.026474204650013777,0.0030889006507029567,0.0013645774806323259,0.0005441139033739117,0.0,0.0,0.0,0.0,0.22193125027326355,0.8720442884318207,0.4592262392026791,0.1924406981392615,0.007908244360832201,0.005852690236507982,0.0,0.0
ctx-rh-precentral,0.0,0.0032322446046316104,0.0,0.0,0.0,0.0,0.0,0.0,0.00042773752162853873,0.0,0.0,0.0,0.0,0.0,0.0,0.8052437838936306,0.0,0.0,0.0002841716497272685,0.0,0.018806336312622265,0.010633241162513908,0.0521943387777909,0.0,0.0,0.0,0.0011310654327921245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0626361955402662,0.46543532029550144,29.158364450221583,0.0012864049362099688,0.0,0.006988861328125864,0.28417065350905707,0.004085326472810213,0.15966800550349813,0.014926702303784912,0.01646007552904927,0.0020624598947124205,0.0013320545625427494,0.007382977106001066,0.0002683843283549599,16.750933304948706,23.45773398828949,0.0010209782184034154,0.22016780485358575,0.00178544987263023,57.413248991836674,2.5089106869316944,0.0,0.637829197725902,0.01031539352286769,0.7756587632027441,18.00313151917974,3.789374757942784,3.806947083691594,7.090885384318729,0.0,0.0,0.719120186328402,18.49310250405519,0.0,0.0,0.0004918449490830518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2739451150882287,0.8915082620578292,1.9635260985435352,0.4023732179843321,0.01618017962175435,0.0070797132220173226,0.0,0.0
ctx-rh-precuneus,0.0,0.00018115942298934078,0.0,1.6503676527814157,0.0,0.0,0.0004912797847519751,0.0,1.0810794516844486,0.0004140786772620851,0.0,1.1038240264844743,0.0,0.0,0.0,0.029546959501137768,0.0,0.0,0.0,0.24330618150154318,0.0,0.8268909067306938,0.0,20.30914496174217,0.0,0.0,0.0,0.39930924063251505,0.0,0.0006169515891351562,0.0,0.0,0.0,0.0,0.17754380781527446,0.005443794112922489,0.0386369847557575,20.417337594783284,0.0,0.47950224069527525,4.0228543167164466,0.09449763931468994,29.774250542380564,1.4671763086866965,0.0,15.15395229295625,0.0,0.03406741140761237,0.06106739061331187,8.239339461192435,0.009468582600517117,0.0,0.00021003991149473882,7.2112851122569674,3.014995189532098,9.332664963958003,0.637829197725902,0.0,0.0,0.0011743326684918957,0.03514760840630186,45.43013400599307,0.3230313260405176,1.251318826481862,0.0,0.0,0.12147074135398303,0.617631742109855,0.0,0.0,0.0,0.0,0.0,0.001051574594516685,0.0,0.0,0.0,0.055739876004340855,0.11550198569623889,0.12864777084062065,0.10091878756529828,0.06165028694153264,0.3688273293546576,0.0013877276493155439,0.0,0.0
